Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_g2-2-50_moderate_gaussian-noise.csv_predicted_cvis,0.9966619696348943,--,0.9968897186180158,0.9982886049865053,--,0.9988348931508524,-0.8514409076847395,--,-0.921216059488649,0.9942699836254524,--,0.9937692395055078,-0.663835197425799,--,-0.7095560910450645,0.9952781261759357,--,0.9972471210279287,0.9922552615177843,--,0.991997309155189,-0.8525505455013017,--,-0.9227588729597024,-0.720978158760068,--,-0.8498125004968492,-0.27742857325224757,--,-0.061175510556924856,-0.8525523688498267,--,-0.9227589250553793,-0.8328925822414909,--,-0.922074830674318,-0.7269948702702622,--,-0.8542225818803307,-0.7327420908684809,--,-0.8659904743326764,-0.5005179742447513,--,-0.5159313073183824,-0.7700764803547849,--,-0.800941546007737,0.9965569435798488,--,-0.9174025888090473,0.9931727445074076,--,0.9930474538646155,0.7150953331272712,--,0.7691721435621702,0.9931727445074076,--,0.9930474538646155
transformed_g2-2-70_severe_knock-out.csv_predicted_cvis,-0.13363067941004245,--,0.28311700580786964,-0.21566903283046132,--,0.053841659818400424,-0.6726987688922632,--,-0.7180282636419067,-0.12837689891446444,--,0.22816156720778133,-0.271034624215723,--,-0.26368498010963665,0.237711435261253,--,0.5385090693168878,0.39768334347938283,--,0.5743862975885894,-0.673916098638601,--,-0.7201402870911999,-0.6739582685531738,--,-0.7176737407552862,-0.6306549908781918,--,-0.7201402870911999,-0.6809280597878385,--,-0.7191974428037824,-0.673916098638601,--,-0.7201402870911999,-0.5187276409378268,--,0.38808220965893603,-0.620954044601046,--,-0.28755967084061557,-0.6618463600362319,--,-0.7201402870911999,-0.2799959176549652,--,-0.417906354200385,-0.6908630541738353,--,-0.8972406166427047,0.03346402166774234,--,0.3129358250382952,0.15034227619067556,--,0.20069503293385146,0.03346402166774234,--,0.3129358250382952
transformed_g2-8-90_mild_gaussian-noise.csv_predicted_cvis,--,0.08455303352969361,0.9981354691302056,--,0.9648573715798874,0.9999505037954711,--,0.33877586072500065,-0.9333134888907997,--,0.8159964577290616,0.9977231614206584,--,0.13451627909368477,-0.5657116006800874,--,0.42020646860270955,0.9998643837815641,--,0.06084690344343596,0.9982946804115892,--,0.3031343884745794,-0.9337948381465114,--,0.3031343884745794,-0.9338482721865343,--,0.3031343884745794,-0.9203264379502161,--,0.3031343884745794,-0.9337948381465114,--,0.3031343884745794,-0.9283970361551501,--,0.07289930973324367,-0.9336984432425205,--,0.3031343884745794,-0.9338393882237611,--,0.3031343884745794,0.45457617033980396,--,-0.3128452465828597,-0.9337999965765086,--,--,-0.5226578142172674,--,0.10866765312975651,0.9980290763868521,--,0.4927755701160795,-0.02664065961592484,--,0.10866765312975651,0.9980290763868521
transformed_mnist_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_fashion-mnist_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-50_mild_knock-out.csv_predicted_cvis,0.9997734244870126,0.9700382729342307,0.9974675625563503,0.9999676644881205,0.9784286663155042,0.9999847803267528,-0.5195890532015278,-0.7538703972760664,-0.8370664759045006,0.9997696803748417,0.9473893301131822,0.9970296671453539,0.30572375471759805,-0.4774335834446627,-0.11432563419671612,0.9999002421045583,0.9743461447030379,0.9999619153551758,0.9998474557958461,0.9849683971194616,0.9975290937267604,-0.5202612962640993,-0.755180912046131,-0.8378241416167246,-0.5095474827039013,-0.755180912046131,-0.3968205620306949,0.20209078120319746,0.7539530502677287,-0.5180135040317854,-0.5202664564596872,-0.6705470547039758,-0.83782572947945,-0.5212686685126514,0.6433743168020325,-0.839549269403762,-0.45989171443822296,-0.7504563978817719,-0.17115898395690615,-0.5095616307126833,-0.6969886707722638,-0.36578209895348557,-0.42488429545758966,0.41921795783673466,-0.8620835366895834,-0.5205741402097938,-0.7551856739468853,-0.8379924267109221,0.9977169313115314,0.8509399793619606,-0.9180207950609006,0.9998226935994431,0.9725440128180065,0.9972955646374029,-0.2806008037963919,0.14037910521060062,0.06331299222204262,0.9998226935994431,0.9725440128180065,0.9972955646374029
transformed_g2-4-50_moderate_knock-out.csv_predicted_cvis,0.9744055809832982,0.939618714368519,0.9790830570490046,0.9998024525241868,0.9037191134967656,0.9998141870692762,-0.7166989717875991,-0.8173768437159497,-0.7220422468290599,0.9816166138511506,0.8393599234417207,0.9832682417485081,-0.2062091024150256,-0.5477970929404171,-0.2102849752867505,0.9993550313009242,0.8915567204402807,0.9992425990450008,0.9621384486776405,0.9923015805062555,0.9751105937754098,-0.7184107273042653,-0.8205926776870184,-0.723154253465414,-0.28567636270088853,-0.8205926776870184,-0.0796967794558613,0.04032069209471274,0.8190766822474073,-0.1640123901930949,-0.6738554275281066,-0.8206903443295618,-0.6372515470776765,-0.7095870082714312,0.7975407034292326,-0.7233693576527367,-0.0562932456082932,-0.4226827026050126,0.11409543259522054,-0.07692716723221713,-0.8186596786050871,0.09455007553219434,-0.4294368993193572,0.7123364664879975,-0.6198930072465608,-0.7184107504889713,-0.820627174750196,-0.7231542768032041,0.9938530594568912,0.924365410723193,-0.702063297836362,0.9736393890517908,0.9435831571743237,0.9788832887466354,0.0031112378552192893,0.09496121844846209,-0.07925623884766107,0.9736393890517908,0.9435831571743237,0.9788832887466354
transformed_g2-8-10_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-30_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
